Fecha, Hora,Estado_general, Estado_detallado, Valor de Prediccion
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.64902234
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.64469194
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.65065265
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.655144
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6465661
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6464106
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6644285
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6464361
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.6567273
2024-10-04,01:49:15,Inestable,Inestabilidad leve,0.650834
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.66153955
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.648287
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.654989
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.65420413
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.6520177
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.64451754
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.641829
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.6221174
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.6384522
2024-10-04,01:49:16,Inestable,Inestabilidad leve,0.63519955
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6352006
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6344818
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6315588
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.62830734
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6249328
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.62132597
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.627548
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6367166
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.64114225
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.64452267
2024-10-04,01:49:17,Inestable,Inestabilidad leve,0.6187192
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.60849833
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.59507644
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.5950453
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.5966649
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.5981827
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.60294473
2024-10-04,01:49:18,Inestable,Inestabilidad leve,0.5958307
